Latitude,Longitude,Started
40.92602,-121.5935,20170817
40.69259,-122.17384,20170729
35.556667,-120.474,20170520
36.2771,-120.94328,20170517
33.88466,-116.99229,20170514
35.188,-119.2877,20170602
34.04412,-116.55326,20170529
36.96642,-119.58292,20170528
39.87983,-122.5415,20170810
39.16826,-120.95498,20170727
41.45589,-120.56933,20170717
35.947,-120.87492,20170628
38.19906,-120.83484,20170528
33.56777,-116.08003,20170413
34.71796,-120.27077,20171216
34.605358,-120.414875,20171214
39.8629,-121.6268,20170702
35.80375,-120.52508,20170609
33.97155,-117.44148,20170518
37.89532,-120.84748,20171018
38.69775,-120.73757,20170725
